HouseholdID,StateRegion,Township,UrbanRural,SurveyDate,Year,HHSize,ChildrenUnder5,FemaleHeaded,WealthQuintile,HungerScore,HungerCategory,FCS,FCSCategory,DietDiversityScore,DietDiversityCategory,MonthlyFoodExpenditure,MonthlyIncome,ConflictShock,PriceShock,IDPStatus
HH00018,Mon,Township B,Urban,9/25/20,2020,4,2,No,Middle,2,Moderate,56,Acceptable,6,Medium,58301,127862,No,No,No
HH00019,Mandalay,Chanayethazan,Urban,4/8/20,2020,2,1,Yes,Richest,2,Moderate,54,Acceptable,4,Medium,52368,111808,No,No,No
HH00020,Mon,Township A,Urban,2/23/20,2020,1,0,Yes,Poorest,3,Moderate,42,Acceptable,0,Low,60026,128637,No,No,No
HH00021,Kayah,Township A,Rural,11/16/20,2020,4,4,Yes,Richest,1,Little/None,36,Acceptable,5,Medium,50063,90101,No,No,No
HH00022,Chin,Township B,Rural,4/4/20,2020,2,2,No,Middle,1,Little/None,59,Acceptable,5,Medium,18709,38162,No,No,No
HH00023,Yangon,Hlaing,Urban,1/13/20,2020,6,0,Yes,Poor,2,Moderate,69,Acceptable,5,Medium,56559,127538,No,Yes,No
HH00024,Magway,Township A,Rural,3/9/20,2020,8,1,Yes,Rich,2,Moderate,44,Acceptable,7,High,32213,51255,No,No,No
HH00025,Ayeyarwady,Township A,Urban,11/18/20,2020,1,0,Yes,Poor,2,Moderate,35,Acceptable,8,High,50127,84953,No,No,No
HH00026,Magway,Township A,Rural,1/6/20,2020,7,0,No,Middle,1,Little/None,45,Acceptable,5,Medium,46999,103079,No,No,No
HH00027,Shan,Muse,Rural,7/23/20,2020,8,1,Yes,Middle,2,Moderate,39,Acceptable,2,Low,48501,81714,Yes,Yes,No
HH00028,Kachin,Township B,Urban,1/19/20,2020,8,4,Yes,Poorest,2,Moderate,35,Acceptable,7,High,51175,115976,No,No,No
HH00029,Kayah,Township A,Urban,10/3/20,2020,4,3,Yes,Richest,1,Little/None,41,Acceptable,7,High,57566,89228,No,Yes,No
HH00030,Mon,Township A,Urban,7/22/20,2020,6,2,Yes,Middle,3,Moderate,70,Acceptable,5,Medium,76855,114853,No,Yes,No
HH00031,Bago,Township A,Rural,8/11/20,2020,2,0,No,Richest,2,Moderate,52,Acceptable,3,Low,29028,46988,No,No,No
HH00032,Kayah,Township A,Urban,9/9/20,2020,3,2,Yes,Poor,2,Moderate,57,Acceptable,6,Medium,56863,141185,No,No,No
HH00033,Kayin,Township B,Rural,10/26/20,2020,1,1,Yes,Poor,2,Moderate,37,Acceptable,9,High,54701,91845,No,Yes,No
HH00034,Nay Pyi Taw,Township A,Urban,5/10/20,2020,4,2,Yes,Middle,2,Moderate,35,Acceptable,4,Medium,57240,91739,No,No,No
HH00035,Sagaing,Township A,Urban,11/14/20,2020,5,0,Yes,Middle,2,Moderate,49,Acceptable,7,High,71672,167419,No,No,No
HH00036,Sagaing,Township A,Rural,9/23/20,2020,7,4,Yes,Poorest,0,Little/None,37,Acceptable,7,High,43617,74010,Yes,No,No
HH00037,Mandalay,Aungmyay Thazan,Rural,10/18/20,2020,3,3,Yes,Poorest,2,Moderate,59,Acceptable,5,Medium,67870,148004,No,Yes,No
HH00038,Nay Pyi Taw,Township A,Rural,4/22/20,2020,4,0,No,Richest,1,Little/None,54,Acceptable,6,Medium,34695,76568,No,No,No
HH00039,Bago,Township A,Urban,3/26/20,2020,3,3,Yes,Poor,1,Little/None,52,Acceptable,6,Medium,81435,118179,No,No,No
HH00040,Tanintharyi,Township B,Urban,5/6/20,2020,2,1,Yes,Rich,1,Little/None,52,Acceptable,8,High,55174,111446,No,Yes,No
HH00041,Ayeyarwady,Township B,Rural,5/27/20,2020,4,1,Yes,Poor,2,Moderate,32,Borderline,6,Medium,51181,89632,No,No,No
HH00042,Sagaing,Township A,Rural,6/21/20,2020,7,4,No,Poorest,2,Moderate,36,Acceptable,8,High,50577,81284,Yes,No,Yes
HH00043,Sagaing,Township A,Urban,10/14/20,2020,6,2,No,Richest,3,Moderate,55,Acceptable,3,Low,62065,96554,No,Yes,No
HH00044,Nay Pyi Taw,Township A,Rural,1/23/20,2020,7,0,Yes,Middle,2,Moderate,47,Acceptable,6,Medium,56034,101797,No,No,No
HH00045,Rakhine,Maungdaw,Rural,11/28/20,2020,2,2,No,Richest,2,Moderate,56,Acceptable,7,High,64221,96284,Yes,No,No
HH00046,Sagaing,Township A,Urban,7/22/20,2020,7,1,No,Rich,0,Little/None,29,Borderline,6,Medium,40503,98601,No,Yes,No
HH00047,Sagaing,Township A,Rural,10/20/20,2020,6,3,No,Rich,4,Severe,26,Borderline,7,High,16235,39682,No,No,No
HH00048,Shan,Taunggyi,Urban,5/17/20,2020,6,0,Yes,Middle,1,Little/None,41,Acceptable,9,High,57262,123213,Yes,Yes,Yes
HH00049,Chin,Township B,Urban,8/14/20,2020,4,3,No,Rich,1,Little/None,47,Acceptable,6,Medium,58304,103709,Yes,No,Yes
HH00050,Shan,Taunggyi,Rural,4/6/20,2020,8,0,Yes,Poorest,3,Moderate,53,Acceptable,6,Medium,45242,91051,No,No,No
HH00051,Rakhine,Maungdaw,Rural,10/27/20,2020,7,4,No,Poor,1,Little/None,53,Acceptable,4,Medium,31438,77131,No,No,No
HH00052,Sagaing,Township A,Rural,9/16/20,2020,4,2,No,Poorest,1,Little/None,61,Acceptable,5,Medium,34230,72053,No,Yes,No
HH00053,Tanintharyi,Township B,Urban,3/5/20,2020,4,3,Yes,Poor,3,Moderate,49,Acceptable,3,Low,98126,142946,No,Yes,No
HH00054,Bago,Township B,Rural,7/2/20,2020,4,3,No,Richest,2,Moderate,61,Acceptable,3,Low,59807,126092,No,No,No
HH00055,Kachin,Township B,Rural,1/12/20,2020,5,3,No,Richest,3,Moderate,37,Acceptable,6,Medium,53880,99365,No,No,No
HH00056,Mandalay,Amarapura,Urban,8/8/20,2020,5,3,No,Poorest,1,Little/None,35,Acceptable,3,Low,62225,117372,No,No,No
HH00057,Rakhine,Maungdaw,Urban,8/5/20,2020,1,1,Yes,Poorest,3,Moderate,30,Borderline,5,Medium,63160,123268,No,Yes,No
HH00058,Magway,Township A,Urban,5/13/20,2020,6,1,No,Middle,2,Moderate,68,Acceptable,6,Medium,64074,142743,No,Yes,No
HH00059,Nay Pyi Taw,Township B,Rural,7/9/20,2020,2,1,Yes,Richest,2,Moderate,38,Acceptable,6,Medium,47995,70367,No,Yes,No
HH00060,Tanintharyi,Township A,Urban,11/2/20,2020,1,0,Yes,Poorest,0,Little/None,57,Acceptable,4,Medium,97394,172782,No,No,No
HH00061,Chin,Township A,Rural,11/4/20,2020,4,3,No,Middle,1,Little/None,50,Acceptable,6,Medium,27148,64432,Yes,No,No
HH00062,Kayah,Township A,Rural,2/19/20,2020,1,1,No,Rich,2,Moderate,40,Acceptable,4,Medium,43308,71112,No,No,No
HH00063,Chin,Township A,Urban,2/23/20,2020,5,4,Yes,Richest,2,Moderate,48,Acceptable,7,High,65781,135740,No,Yes,No
HH00064,Bago,Township B,Urban,9/21/20,2020,6,0,No,Rich,2,Moderate,37,Acceptable,2,Low,56637,89485,No,Yes,No
HH00065,Tanintharyi,Township B,Urban,7/6/20,2020,5,4,No,Rich,2,Moderate,42,Acceptable,5,Medium,92206,147469,No,No,No
HH00066,Yangon,North Dagon,Rural,4/27/20,2020,2,1,No,Poor,1,Little/None,47,Acceptable,6,Medium,66914,103273,No,No,No
HH00067,Mon,Township B,Rural,1/16/20,2020,6,1,No,Poor,2,Moderate,41,Acceptable,6,Medium,52584,76746,No,No,No
HH00068,Sagaing,Township B,Rural,10/23/20,2020,5,4,Yes,Richest,3,Moderate,55,Acceptable,2,Low,34318,68830,No,Yes,No
HH00069,Yangon,South Okkalapa,Rural,9/25/20,2020,4,3,No,Rich,3,Moderate,52,Acceptable,7,High,40901,95708,No,No,No
HH00070,Kayah,Township B,Urban,7/23/20,2020,4,2,No,Rich,1,Little/None,44,Acceptable,1,Low,109448,164260,No,No,No
HH00071,Tanintharyi,Township B,Rural,6/23/20,2020,8,2,No,Middle,1,Little/None,41,Acceptable,6,Medium,38585,65906,No,Yes,No
HH00072,Yangon,Insein,Rural,2/24/20,2020,3,1,Yes,Rich,1,Little/None,47,Acceptable,7,High,43209,101813,No,Yes,No
HH00073,Mon,Township B,Urban,4/10/20,2020,4,2,Yes,Middle,0,Little/None,30,Borderline,4,Medium,72598,114663,No,Yes,No
HH00074,Mandalay,Aungmyay Thazan,Rural,1/2/20,2020,5,1,No,Poorest,0,Little/None,60,Acceptable,5,Medium,43185,79885,No,No,No
HH00075,Mon,Township B,Rural,8/15/20,2020,6,1,Yes,Middle,2,Moderate,36,Acceptable,7,High,81479,118318,No,No,No
HH00076,Magway,Township A,Urban,7/16/20,2020,2,2,Yes,Poor,0,Little/None,36,Acceptable,5,Medium,90558,131441,No,Yes,No
HH00077,Mon,Township B,Urban,4/4/20,2020,7,4,Yes,Richest,2,Moderate,45,Acceptable,6,Medium,69544,100674,No,No,No
HH00078,Nay Pyi Taw,Township B,Rural,10/14/20,2020,5,4,Yes,Richest,4,Severe,49,Acceptable,5,Medium,74415,126499,No,No,No
HH00079,Kayah,Township A,Urban,5/22/20,2020,2,0,Yes,Poor,2,Moderate,46,Acceptable,10,High,48220,99792,No,No,No
HH00080,Kayin,Township A,Rural,8/23/20,2020,8,2,Yes,Poor,1,Little/None,31,Borderline,8,High,14708,34746,No,Yes,No
HH00081,Sagaing,Township B,Urban,11/8/20,2020,5,4,Yes,Rich,2,Moderate,63,Acceptable,7,High,63918,105577,Yes,Yes,Yes
HH00082,Sagaing,Township A,Urban,1/6/20,2020,5,4,No,Rich,2,Moderate,59,Acceptable,7,High,76995,116692,Yes,No,No
HH00083,Sagaing,Township B,Rural,2/20/20,2020,1,1,No,Richest,3,Moderate,40,Acceptable,2,Low,78664,113846,Yes,Yes,No
HH00084,Ayeyarwady,Township A,Rural,10/2/20,2020,3,3,No,Middle,2,Moderate,47,Acceptable,1,Low,27700,57467,No,Yes,No
HH00085,Mon,Township B,Rural,2/16/20,2020,6,3,No,Middle,2,Moderate,45,Acceptable,5,Medium,51146,95571,No,No,No
HH00086,Ayeyarwady,Township A,Rural,7/23/20,2020,8,2,No,Richest,0,Little/None,50,Acceptable,8,High,60149,118534,No,Yes,No
HH00087,Kayah,Township B,Rural,6/4/20,2020,7,4,Yes,Richest,2,Moderate,37,Acceptable,9,High,46091,82891,No,No,No
HH00088,Kachin,Township A,Rural,10/25/20,2020,8,3,Yes,Poor,2,Moderate,56,Acceptable,8,High,43846,84152,No,Yes,No
HH00089,Kayin,Township B,Rural,12/16/20,2020,2,0,Yes,Poor,2,Moderate,58,Acceptable,4,Medium,42834,97151,No,Yes,No
HH00090,Kachin,Township B,Urban,4/27/20,2020,2,1,Yes,Poor,0,Little/None,59,Acceptable,7,High,58808,116573,No,No,No
HH00091,Yangon,North Dagon,Rural,7/27/20,2020,8,3,Yes,Rich,3,Moderate,45,Acceptable,9,High,29969,45497,No,No,No
HH00092,Bago,Township A,Urban,2/9/20,2020,7,2,No,Poorest,1,Little/None,52,Acceptable,5,Medium,54397,78382,No,Yes,No
HH00093,Sagaing,Township B,Urban,8/18/20,2020,8,2,No,Richest,0,Little/None,44,Acceptable,3,Low,57808,136741,No,No,No
HH00094,Nay Pyi Taw,Township B,Urban,12/8/20,2020,7,1,No,Poorest,0,Little/None,49,Acceptable,7,High,61121,112732,No,Yes,No
HH00095,Magway,Township B,Rural,11/26/20,2020,3,3,Yes,Poor,1,Little/None,50,Acceptable,4,Medium,27266,60178,No,No,No
HH00096,Mon,Township B,Urban,8/4/20,2020,8,0,Yes,Rich,0,Little/None,43,Acceptable,6,Medium,38205,62929,No,No,No
HH00097,Kayin,Township A,Rural,5/11/20,2020,7,0,No,Richest,1,Little/None,47,Acceptable,5,Medium,47802,74475,No,No,No
HH00098,Tanintharyi,Township B,Urban,10/3/20,2020,4,2,Yes,Poorest,1,Little/None,50,Acceptable,4,Medium,48699,89298,No,No,No
HH00099,Kayah,Township A,Rural,3/23/20,2020,5,0,Yes,Middle,0,Little/None,58,Acceptable,9,High,30321,73774,No,No,No
HH00100,Sagaing,Township B,Rural,7/5/20,2020,4,4,No,Richest,2,Moderate,35,Acceptable,6,Medium,58322,104215,No,Yes,No
HH00101,Kayin,Township A,Rural,10/22/20,2020,4,3,Yes,Poor,1,Little/None,35,Acceptable,2,Low,40907,85086,No,No,No
HH00102,Sagaing,Township B,Rural,11/1/20,2020,8,2,Yes,Poorest,1,Little/None,44,Acceptable,3,Low,31708,63640,No,Yes,No
HH00103,Mon,Township B,Rural,12/9/20,2020,8,2,Yes,Rich,3,Moderate,53,Acceptable,5,Medium,49850,116998,No,No,No
HH00104,Kayah,Township A,Rural,10/12/20,2020,5,2,Yes,Rich,4,Severe,55,Acceptable,5,Medium,52395,119550,No,Yes,No
HH00105,Mon,Township A,Rural,5/25/20,2020,4,4,No,Poor,1,Little/None,31,Borderline,7,High,64739,127735,No,No,No
HH00106,Mon,Township B,Urban,11/4/20,2020,1,1,No,Poorest,2,Moderate,46,Acceptable,5,Medium,50844,114037,No,No,No
HH00107,Yangon,Insein,Urban,5/11/20,2020,7,1,Yes,Poor,1,Little/None,40,Acceptable,4,Medium,44477,98400,No,No,No
HH00108,Nay Pyi Taw,Township B,Rural,3/9/20,2020,8,2,No,Poorest,0,Little/None,51,Acceptable,6,Medium,51371,77877,No,No,No
HH00109,Kayah,Township A,Urban,11/24/20,2020,7,4,No,Poorest,1,Little/None,52,Acceptable,7,High,64868,95561,No,No,No
HH00110,Kachin,Township B,Urban,8/12/20,2020,5,4,No,Middle,4,Severe,61,Acceptable,7,High,46047,100956,No,Yes,No
HH00111,Chin,Township B,Urban,10/18/20,2020,6,4,Yes,Poorest,1,Little/None,26,Borderline,2,Low,52656,121202,No,No,No
HH00112,Yangon,North Dagon,Rural,2/5/20,2020,1,0,No,Rich,0,Little/None,52,Acceptable,3,Low,47190,86693,No,Yes,No
HH00113,Chin,Township A,Rural,8/12/20,2020,7,4,Yes,Rich,1,Little/None,45,Acceptable,4,Medium,29492,70386,No,No,No
HH00114,Mon,Township B,Rural,1/23/20,2020,6,1,No,Rich,1,Little/None,52,Acceptable,8,High,57458,99290,No,No,No
HH00115,Ayeyarwady,Township B,Urban,11/12/20,2020,6,0,No,Middle,0,Little/None,37,Acceptable,7,High,74606,114923,No,Yes,No
HH00116,Kayah,Township B,Urban,11/7/20,2020,1,0,No,Poor,2,Moderate,45,Acceptable,6,Medium,104083,159503,No,No,No
HH00117,Shan,Taunggyi,Urban,9/7/20,2020,4,1,No,Poor,2,Moderate,40,Acceptable,5,Medium,49055,109186,No,No,No
HH00118,Sagaing,Township A,Urban,9/9/20,2020,3,0,Yes,Poor,2,Moderate,55,Acceptable,1,Low,85560,129019,Yes,No,No
HH00119,Tanintharyi,Township A,Urban,5/2/20,2020,3,3,Yes,Poorest,3,Moderate,40,Acceptable,1,Low,51076,94797,No,No,No
HH00120,Shan,Muse,Urban,8/17/20,2020,4,4,Yes,Richest,3,Moderate,36,Acceptable,2,Low,80653,120401,Yes,No,Yes
HH00121,Magway,Township B,Rural,11/4/20,2020,8,3,Yes,Poorest,2,Moderate,22,Borderline,6,Medium,43189,99271,No,Yes,No
HH00122,Kayin,Township A,Urban,5/20/20,2020,6,3,No,Rich,2,Moderate,50,Acceptable,4,Medium,70196,109990,No,No,No
HH00123,Bago,Township A,Urban,11/21/20,2020,4,3,No,Poor,2,Moderate,67,Acceptable,6,Medium,56224,126205,No,No,No
HH00124,Ayeyarwady,Township B,Rural,7/24/20,2020,2,1,No,Middle,0,Little/None,36,Acceptable,9,High,59705,90050,No,No,No
HH00125,Tanintharyi,Township A,Rural,2/3/20,2020,2,0,No,Poorest,3,Moderate,39,Acceptable,5,Medium,35494,55530,No,No,No
HH00126,Tanintharyi,Township A,Urban,10/18/20,2020,6,0,No,Middle,1,Little/None,39,Acceptable,7,High,85497,144338,No,No,No
HH00127,Shan,Muse,Urban,5/20/20,2020,5,2,Yes,Richest,2,Moderate,63,Acceptable,4,Medium,40395,88883,No,Yes,No
HH00128,Magway,Township A,Urban,6/28/20,2020,6,0,No,Richest,2,Moderate,53,Acceptable,4,Medium,42338,61882,No,Yes,No
HH00129,Bago,Township A,Rural,1/6/20,2020,5,2,No,Middle,2,Moderate,33,Borderline,10,High,33744,83230,No,Yes,No
HH00130,Ayeyarwady,Township A,Rural,2/5/20,2020,1,0,Yes,Rich,3,Moderate,50,Acceptable,6,Medium,40587,91052,No,No,No
HH00131,Tanintharyi,Township A,Rural,5/24/20,2020,6,4,Yes,Poorest,3,Moderate,58,Acceptable,9,High,45729,67219,No,Yes,No
HH00132,Shan,Taunggyi,Urban,5/15/20,2020,7,3,No,Rich,1,Little/None,52,Acceptable,10,High,69171,133098,Yes,No,Yes
HH00133,Bago,Township A,Rural,11/22/20,2020,8,4,No,Poorest,1,Little/None,40,Acceptable,3,Low,21678,38628,No,Yes,No
HH00134,Mon,Township A,Urban,4/10/20,2020,4,1,No,Middle,1,Little/None,51,Acceptable,8,High,53319,99538,No,Yes,No
HH00135,Kachin,Township B,Rural,3/5/20,2020,7,4,Yes,Richest,1,Little/None,29,Borderline,5,Medium,40213,73181,No,No,No
HH00136,Rakhine,Maungdaw,Urban,7/28/20,2020,1,1,Yes,Rich,2,Moderate,43,Acceptable,8,High,43563,73877,No,No,No
HH00137,Mon,Township B,Rural,12/21/20,2020,7,2,Yes,Rich,1,Little/None,33,Borderline,10,High,34231,81480,No,Yes,No
HH00138,Tanintharyi,Township A,Rural,12/12/20,2020,2,1,Yes,Poor,1,Little/None,51,Acceptable,5,Medium,38348,83875,No,No,No
HH00139,Bago,Township A,Rural,5/24/20,2020,6,1,No,Poor,1,Little/None,39,Acceptable,4,Medium,52295,82660,No,Yes,No
HH00140,Rakhine,Sittwe,Urban,6/12/20,2020,3,1,Yes,Poor,3,Moderate,18,Poor,1,Low,50532,88983,Yes,Yes,Yes
HH00141,Shan,Taunggyi,Urban,11/16/20,2020,8,4,No,Richest,1,Little/None,41,Acceptable,3,Low,59648,100554,No,No,No
HH00142,Tanintharyi,Township B,Urban,8/3/20,2020,8,3,No,Middle,1,Little/None,44,Acceptable,6,Medium,60175,100683,No,No,No
HH00143,Tanintharyi,Township A,Rural,8/15/20,2020,1,0,No,Middle,2,Moderate,33,Borderline,4,Medium,54955,92234,No,Yes,No
HH00144,Ayeyarwady,Township A,Rural,8/19/20,2020,1,1,Yes,Middle,1,Little/None,42,Acceptable,7,High,37096,56489,No,No,No
HH00145,Mandalay,Aungmyay Thazan,Urban,8/4/20,2020,6,0,Yes,Poorest,1,Little/None,56,Acceptable,3,Low,66066,135398,No,Yes,No
HH00146,Magway,Township B,Urban,6/12/20,2020,5,3,No,Middle,0,Little/None,62,Acceptable,3,Low,51181,99592,No,No,No
HH00147,Kachin,Township B,Urban,6/4/20,2020,7,2,No,Richest,0,Little/None,51,Acceptable,3,Low,92686,163869,No,No,No
HH00148,Tanintharyi,Township A,Urban,6/10/20,2020,7,1,Yes,Middle,0,Little/None,39,Acceptable,7,High,76299,119226,No,No,No
HH00149,Rakhine,Maungdaw,Urban,11/23/20,2020,2,2,No,Richest,1,Little/None,44,Acceptable,6,Medium,45577,77245,Yes,No,Yes
HH00150,Chin,Township B,Rural,4/8/20,2020,3,1,Yes,Middle,1,Little/None,40,Acceptable,3,Low,39749,82520,No,Yes,No
HH00151,Shan,Taunggyi,Rural,10/5/20,2020,7,1,Yes,Poor,2,Moderate,35,Acceptable,6,Medium,22289,37435,No,No,No
HH00152,Shan,Taunggyi,Rural,1/14/20,2020,6,1,No,Richest,1,Little/None,50,Acceptable,9,High,71498,119262,Yes,No,No
HH00153,Mandalay,Aungmyay Thazan,Rural,8/27/20,2020,4,2,No,Rich,0,Little/None,32,Borderline,4,Medium,36284,80652,No,No,No
HH00154,Shan,Muse,Rural,3/27/20,2020,4,4,Yes,Middle,1,Little/None,46,Acceptable,3,Low,48849,94525,Yes,No,No
HH00155,Nay Pyi Taw,Township A,Urban,5/3/20,2020,3,2,No,Richest,1,Little/None,31,Borderline,4,Medium,83402,146341,No,Yes,No
HH00156,Bago,Township A,Urban,8/12/20,2020,1,1,Yes,Rich,4,Severe,41,Acceptable,6,Medium,57816,124475,No,No,No
HH00157,Chin,Township B,Urban,6/8/20,2020,1,1,Yes,Middle,1,Little/None,46,Acceptable,10,High,58831,117598,No,Yes,No
HH00158,Sagaing,Township B,Urban,12/16/20,2020,8,4,Yes,Poorest,1,Little/None,47,Acceptable,6,Medium,61244,111628,Yes,Yes,Yes
HH00159,Yangon,South Okkalapa,Urban,5/8/20,2020,5,0,Yes,Poor,1,Little/None,63,Acceptable,7,High,67781,105938,No,No,No
HH00160,Shan,Muse,Urban,2/27/20,2020,8,4,Yes,Richest,0,Little/None,54,Acceptable,2,Low,63524,148603,No,No,No
HH00161,Sagaing,Township B,Urban,10/12/20,2020,4,4,No,Poor,1,Little/None,51,Acceptable,6,Medium,57329,86616,No,Yes,No
HH00162,Tanintharyi,Township A,Urban,7/28/20,2020,8,0,No,Middle,2,Moderate,51,Acceptable,8,High,95958,146555,No,Yes,No
HH00163,Kachin,Township B,Urban,6/8/20,2020,2,2,No,Poor,1,Little/None,28,Borderline,6,Medium,56858,125192,No,Yes,No
HH00164,Mandalay,Chanayethazan,Urban,11/15/20,2020,8,1,Yes,Poorest,2,Moderate,46,Acceptable,6,Medium,79271,114668,No,No,No
HH00165,Magway,Township A,Rural,4/2/20,2020,4,0,No,Middle,1,Little/None,51,Acceptable,6,Medium,40026,80743,No,No,No
HH00166,Ayeyarwady,Township B,Rural,1/25/20,2020,4,2,No,Poorest,0,Little/None,50,Acceptable,3,Low,69120,111948,No,No,No
HH00167,Tanintharyi,Township B,Urban,6/14/20,2020,7,3,No,Middle,1,Little/None,40,Acceptable,8,High,61910,124913,No,No,No
HH00168,Magway,Township B,Rural,9/9/20,2020,2,2,No,Poorest,2,Moderate,47,Acceptable,3,Low,38547,94637,No,No,No
HH00169,Ayeyarwady,Township A,Rural,6/4/20,2020,2,1,No,Middle,2,Moderate,55,Acceptable,4,Medium,62682,115233,No,No,No
HH00170,Yangon,South Okkalapa,Urban,12/15/20,2020,6,3,Yes,Middle,2,Moderate,48,Acceptable,2,Low,47238,76035,No,No,No
HH00171,Bago,Township B,Urban,2/22/20,2020,7,2,Yes,Poorest,1,Little/None,42,Acceptable,3,Low,47438,97033,No,Yes,No
HH00172,Mon,Township B,Urban,3/3/20,2020,4,2,No,Rich,0,Little/None,32,Borderline,3,Low,93887,137065,No,No,No
HH00173,Kachin,Township A,Rural,6/12/20,2020,8,0,Yes,Richest,2,Moderate,42,Acceptable,5,Medium,56574,96870,No,No,No
HH00174,Tanintharyi,Township B,Urban,2/1/20,2020,3,3,No,Richest,3,Moderate,61,Acceptable,2,Low,55192,121849,No,Yes,No
HH00175,Shan,Muse,Rural,4/20/20,2020,5,3,Yes,Poorest,1,Little/None,39,Acceptable,4,Medium,45794,109725,Yes,Yes,Yes
HH00176,Yangon,South Okkalapa,Urban,11/28/20,2020,6,2,Yes,Richest,1,Little/None,33,Borderline,7,High,65235,146213,No,No,No
HH00177,Nay Pyi Taw,Township B,Urban,12/23/20,2020,3,2,Yes,Poorest,1,Little/None,51,Acceptable,6,Medium,47447,82106,No,No,No
HH00178,Shan,Taunggyi,Urban,8/1/20,2020,6,4,No,Rich,1,Little/None,46,Acceptable,5,Medium,59067,134595,No,No,No
HH00179,Mon,Township A,Urban,5/13/20,2020,8,4,No,Rich,2,Moderate,48,Acceptable,7,High,72544,170255,No,No,No
HH00180,Kayah,Township A,Rural,11/3/20,2020,8,3,No,Poor,0,Little/None,32,Borderline,7,High,30858,56232,No,No,No
HH00181,Shan,Taunggyi,Urban,7/17/20,2020,1,0,Yes,Middle,1,Little/None,47,Acceptable,5,Medium,81468,149709,Yes,Yes,No
HH00182,Tanintharyi,Township B,Urban,5/7/20,2020,5,1,No,Richest,3,Moderate,48,Acceptable,8,High,52245,91704,No,No,No
HH00183,Mandalay,Amarapura,Urban,10/19/20,2020,3,1,No,Richest,2,Moderate,41,Acceptable,7,High,96780,147717,No,Yes,No
HH00184,Ayeyarwady,Township A,Urban,1/21/20,2020,5,1,No,Richest,2,Moderate,52,Acceptable,7,High,85433,141436,No,No,No
HH00185,Magway,Township B,Rural,8/8/20,2020,7,2,No,Poorest,3,Moderate,51,Acceptable,5,Medium,41878,83667,No,No,No
HH00186,Kayin,Township B,Rural,8/15/20,2020,4,2,Yes,Middle,1,Little/None,49,Acceptable,6,Medium,49707,90010,No,No,No
HH00187,Tanintharyi,Township B,Rural,3/25/20,2020,6,4,Yes,Middle,2,Moderate,45,Acceptable,3,Low,58226,98656,No,Yes,No
HH00188,Kayah,Township B,Rural,4/5/20,2020,2,0,No,Rich,3,Moderate,47,Acceptable,6,Medium,39346,69965,No,No,No
